Id,GrLivArea,BedroomAbvGr,FullBath,HalfBath,BsmtFullBath,GarageArea,GarageCars,YearBuilt,YearRemodAdd,OverallQual,OverallCond,LotArea,TotalBsmtSF,Neighborhood,BldgType,SaleCondition,SalePrice
1,901,5,2,0,0.0,495.0,2,1979,1997,4,9,10893,1199.0,NAmes,TwnhsE,Normal,282518
2,3982,1,3,0,0.0,697.0,3,1988,2011,3,1,9926,2229.0,CollgCr,TwnhsI,Alloca,583119
3,3445,2,1,0,1.0,443.0,2,1932,1940,6,1,2840,267.0,NoRidge,1Fam,Abnorml,605910
4,2474,3,2,0,0.0,484.0,2,1943,1964,7,5,3698,2704.0,Mitchel,2FmCon,Alloca,405408
5,2448,4,3,0,0.0,,1,2016,2025,3,9,12512,1546.0,NAmes,1Fam,AdjLand,376594
6,4363,1,4,1,1.0,84.0,0,2004,2017,8,3,12029,1795.0,Veenker,Duplx,Abnorml,659877
7,886,3,1,0,0.0,294.0,1,1950,1969,7,7,11765,,ClearCr,Duplx,Partial,297731
8,3638,1,3,0,1.0,451.0,2,1929,1958,2,7,4393,1585.0,NoRidge,1Fam,Normal,639602
9,1406,4,1,0,1.0,52.0,0,1937,1953,10,2,10933,9.0,SawyerW,TwnhsE,Alloca,275516
10,923,4,1,0,1.0,56.0,0,1966,1987,1,3,2627,2670.0,NWAmes,1Fam,Abnorml,226755
11,2869,3,2,1,0.0,207.0,1,1969,1986,7,6,4166,2246.0,NoRidge,TwnhsE,Partial,627935
12,4890,2,4,0,0.0,685.0,3,1922,1934,5,5,10725,1363.0,Gilbert,TwnhsE,Normal,665396
13,3810,1,3,0,0.0,,2,1908,1935,7,3,12913,,ClearCr,TwnhsI,Partial,593315
14,3925,5,2,0,0.0,486.0,2,1960,1988,8,2,13624,,CollgCr,1Fam,Partial,656369
15,3728,4,1,1,1.0,411.0,2,1998,2007,7,6,19666,,Timber,TwnhsI,Abnorml,651037
16,4037,2,1,0,1.0,80.0,0,1918,1944,7,8,17301,161.0,SawyerW,Duplx,Family,464879
17,2809,3,1,0,0.0,236.0,1,1950,1963,9,4,8525,760.0,ClearCr,TwnhsI,Abnorml,473024
18,1076,4,1,1,0.0,81.0,0,1919,1941,8,9,15982,3.0,SawyerW,TwnhsE,Abnorml,276124
19,4278,4,1,1,0.0,699.0,3,1929,1944,9,7,3269,1719.0,StoneBr,TwnhsE,AdjLand,780373
20,2526,3,3,0,0.0,687.0,3,1975,1998,5,4,17358,1584.0,CollgCr,1Fam,Abnorml,502100
21,2751,2,1,0,1.0,291.0,1,1935,1961,3,7,8652,,Veenker,TwnhsE,Partial,408184
22,2168,4,1,1,0.0,211.0,1,1932,1944,3,5,15561,220.0,NAmes,Duplx,Alloca,314429
23,1321,4,2,0,0.0,232.0,1,2022,2043,7,7,19456,2754.0,CollgCr,TwnhsI,Normal,428610
24,4670,3,2,0,0.0,629.0,3,1921,1936,6,9,14509,2929.0,Gilbert,TwnhsE,AdjLand,670469
25,4017,1,2,1,1.0,251.0,1,1923,1946,1,8,18524,1771.0,NridgHt,1Fam,Normal,694989
26,3397,3,1,1,0.0,697.0,3,2014,2019,3,2,1687,16.0,Gilbert,TwnhsI,Normal,448671
27,2310,4,1,0,0.0,268.0,1,1967,1988,10,1,4655,1187.0,NridgHt,1Fam,Normal,574487
28,4202,5,2,1,1.0,454.0,2,1905,1922,8,8,13082,2154.0,Somerst,2FmCon,Normal,686426
29,2954,3,3,1,1.0,480.0,2,1952,1965,8,8,11500,2246.0,Timber,2FmCon,Partial,604480
30,2495,2,2,1,0.0,217.0,1,1969,1980,2,6,3728,,NoRidge,TwnhsI,Family,494944
31,2527,3,2,1,1.0,666.0,3,1931,1952,1,3,14789,2468.0,CollgCr,1Fam,Family,451451
32,1522,1,2,0,0.0,450.0,2,1967,1977,3,8,2585,2902.0,Timber,TwnhsI,Normal,377091
33,914,1,1,0,0.0,620.0,3,1979,1979,9,5,19829,1526.0,Crawfor,2FmCon,Family,394264
34,2995,4,1,0,1.0,664.0,3,1930,1958,6,3,4393,1144.0,NWAmes,TwnhsE,AdjLand,442140
35,4495,5,2,0,0.0,84.0,0,1999,2012,8,4,9741,1578.0,StoneBr,1Fam,AdjLand,776530
36,787,5,1,1,1.0,82.0,0,1955,1959,5,3,16730,81.0,Gilbert,2FmCon,Alloca,250296
37,4362,3,3,1,0.0,484.0,2,2018,2024,5,3,11009,1570.0,Veenker,TwnhsE,Partial,678656
38,4224,1,3,1,1.0,281.0,1,1910,1934,7,3,15261,80.0,Veenker,TwnhsE,Abnorml,577639
39,1745,5,2,0,0.0,246.0,1,1939,1948,10,7,14517,104.0,CollgCr,TwnhsI,AdjLand,405484
40,3342,3,2,0,1.0,4.0,0,1988,1996,5,1,19052,1660.0,Blmngtn,TwnhsI,Alloca,530994
41,1243,2,2,0,1.0,296.0,1,2010,2024,6,4,10083,1532.0,Blmngtn,Duplx,Alloca,303857
42,3911,5,3,1,1.0,245.0,1,1927,1927,10,2,19611,2960.0,StoneBr,2FmCon,Abnorml,800000
43,3652,4,3,0,0.0,263.0,1,2020,2036,4,6,11060,1523.0,CollgCr,2FmCon,Family,521418
44,2095,4,1,1,1.0,402.0,2,1923,1924,9,9,18025,2939.0,Timber,TwnhsI,Abnorml,532253
45,805,2,2,1,0.0,488.0,2,1951,1976,6,8,15053,,Veenker,TwnhsE,Alloca,386393
46,4868,5,1,0,1.0,288.0,1,1938,1950,9,3,3959,1011.0,NAmes,TwnhsI,Abnorml,551351
47,2505,3,2,1,1.0,92.0,0,1952,1958,5,5,13407,2778.0,NridgHt,Duplx,Normal,592843
48,4519,3,1,1,0.0,417.0,2,2010,2023,7,1,17750,1448.0,ClearCr,Duplx,Family,692648
49,3550,4,2,1,0.0,84.0,0,1990,1995,4,4,3874,1784.0,ClearCr,TwnhsI,AdjLand,482838
50,4002,4,2,0,1.0,262.0,1,1997,2006,7,3,17014,301.0,Timber,TwnhsE,Abnorml,647482
51,3919,1,2,0,1.0,214.0,1,1931,1934,4,5,3450,637.0,NWAmes,2FmCon,Normal,446028
52,1375,2,2,0,0.0,57.0,0,2016,2036,7,4,17615,1566.0,Crawfor,Duplx,Normal,401734
53,2137,2,3,1,0.0,247.0,1,1953,1982,8,7,16094,813.0,Gilbert,2FmCon,Abnorml,400457
54,2600,5,3,1,0.0,262.0,1,1980,1994,5,5,4306,1799.0,Somerst,TwnhsE,Family,480104
55,2740,4,1,0,1.0,608.0,3,1985,1987,5,9,14939,239.0,Mitchel,1Fam,Abnorml,400967
56,697,2,2,0,0.0,656.0,3,1981,1983,4,1,3660,753.0,Gilbert,TwnhsI,Normal,228099
57,2959,4,3,1,1.0,67.0,0,1974,1998,8,9,12008,1995.0,Veenker,TwnhsI,Family,585438
58,1194,4,2,1,0.0,471.0,2,1959,1969,6,8,18590,1836.0,NAmes,1Fam,Family,339780
59,3845,2,1,1,1.0,476.0,2,1979,1987,6,7,5310,2950.0,SawyerW,TwnhsE,Abnorml,528281
60,3573,3,3,1,0.0,262.0,1,2011,2014,1,8,4715,2699.0,CollgCr,1Fam,AdjLand,508657
61,4651,5,1,1,0.0,270.0,1,1947,1966,2,1,9323,,NoRidge,2FmCon,AdjLand,800000
62,3851,3,1,1,1.0,609.0,3,1962,1963,1,2,8319,2.0,CollgCr,2FmCon,AdjLand,467634
63,2149,1,3,1,1.0,279.0,1,1922,1949,9,1,2396,1807.0,Gilbert,Duplx,Abnorml,372358
